player,market,odds
D Ferreira,runs_10,1.33
D Ferreira,runs_20,1.72
D Ferreira,runs_30,2.2
D Ferreira,runs_50,4.33
D Ferreira,runs_70,13.0
D Jurel,runs_10,1.3
D Jurel,runs_20,1.66
D Jurel,runs_30,2.1
D Jurel,runs_50,4.5
D Jurel,runs_70,8.0
MD Shanaka,runs_10,1.44
MD Shanaka,runs_20,1.9
MD Shanaka,runs_30,2.75
MD Shanaka,runs_50,13.0
MD Shanaka,runs_70,51.0
R Parag,runs_10,1.33
R Parag,runs_20,1.72
R Parag,runs_30,2.2
R Parag,runs_50,4.5
R Parag,runs_70,10.0
RA Jadeja,runs_10,1.28
RA Jadeja,runs_20,1.66
RA Jadeja,runs_30,2.1
RA Jadeja,runs_50,4.33
RA Jadeja,runs_70,19.0
V Suryavanshi,runs_10,1.2
V Suryavanshi,runs_20,1.44
V Suryavanshi,runs_30,1.72
V Suryavanshi,runs_50,3.2
V Suryavanshi,runs_70,4.5
Y Jaiswal,runs_10,1.22
Y Jaiswal,runs_20,1.5
Y Jaiswal,runs_30,1.8
Y Jaiswal,runs_50,3.4
Y Jaiswal,runs_70,5.0
A Porel,runs_10,1.3
A Porel,runs_20,1.66
A Porel,runs_30,2.2
A Porel,runs_50,8.0
A Porel,runs_70,29.0
Axar Patel,runs_10,1.44
Axar Patel,runs_20,1.9
Axar Patel,runs_30,2.75
Axar Patel,runs_50,13.0
Axar Patel,runs_70,51.0
DA Miller,runs_10,1.28
DA Miller,runs_20,1.61
DA Miller,runs_30,2.0
DA Miller,runs_50,4.33
DA Miller,runs_70,19.0
KL Rahul,runs_10,1.18
KL Rahul,runs_20,1.4
KL Rahul,runs_30,1.66
KL Rahul,runs_50,2.75
KL Rahul,runs_70,4.0
N Rana,runs_10,1.3
N Rana,runs_20,1.66
N Rana,runs_30,2.1
N Rana,runs_50,4.33
N Rana,runs_70,8.0
S Rizvi,runs_10,1.3
S Rizvi,runs_20,1.66
S Rizvi,runs_30,2.1
S Rizvi,runs_50,4.0
S Rizvi,runs_70,9.0
SU Parakh,runs_10,1.44
SU Parakh,runs_20,2.0
SU Parakh,runs_30,2.75
SU Parakh,runs_50,7.0
SU Parakh,runs_70,17.0
T Stubbs,runs_10,1.36
T Stubbs,runs_20,1.8
T Stubbs,runs_30,2.37
T Stubbs,runs_50,5.0
T Stubbs,runs_70,17.0
B Sharma,wickets_1,1.3
B Sharma,wickets_2,2.62
B Sharma,wickets_3,6.0
B Sharma,wickets_4,17.0
B Sharma,wickets_5,41.0
JC Archer,wickets_1,1.16
JC Archer,wickets_2,2.1
JC Archer,wickets_3,3.75
JC Archer,wickets_4,9.0
JC Archer,wickets_5,21.0
N Burger,wickets_1,1.28
N Burger,wickets_2,2.75
N Burger,wickets_3,5.5
N Burger,wickets_4,15.0
N Burger,wickets_5,41.0
RA Jadeja,wickets_1,1.36
RA Jadeja,wickets_2,3.75
RA Jadeja,wickets_3,7.0
RA Jadeja,wickets_4,21.0
RA Jadeja,wickets_5,51.0
Axar Patel,wickets_1,1.8
Axar Patel,wickets_2,4.33
Axar Patel,wickets_3,19.0
Axar Patel,wickets_4,51.0
Axar Patel,wickets_5,101.0
Kuldeep Yadav,wickets_1,1.36
Kuldeep Yadav,wickets_2,2.37
Kuldeep Yadav,wickets_3,8.0
Kuldeep Yadav,wickets_4,21.0
Kuldeep Yadav,wickets_5,51.0
MA Starc,wickets_1,1.36
MA Starc,wickets_2,2.37
MA Starc,wickets_3,7.0
MA Starc,wickets_4,21.0
MA Starc,wickets_5,51.0
T Natarajan,wickets_1,1.44
T Natarajan,wickets_2,3.5
T Natarajan,wickets_3,10.0
T Natarajan,wickets_4,26.0
T Natarajan,wickets_5,101.0
Delhi Capitals,match_winner,2.28
Rajasthan Royals,match_winner,1.76
